"Ano_Ref","Municipio","UF","AG001","ES001","POP_URB","AG006","AG028","ES006","ES028","FN001","FN002","FN003","FN006","FN013","FN023","FN024","FN033","FN042","FN043","FN048","FN052","FN053","FN058"
2022,"Regeneração","Piauí",9625,NA,NA,854.72,723.87,NA,NA,2291177.3,2291177.3,NA,2182542.55,476147.66,0,0,33581.51,0,0,0,0,0,0
2022,"Santa Filomena","Piauí",1208,NA,NA,130.74,4.26,NA,NA,390786.54,390786.54,NA,392537.01,3574.02,0,0,6039.74,0,0,0,0,0,0
2022,"Santo Inácio do Piauí","Piauí",2850,NA,NA,230.82,134.59,NA,NA,707195.51,707195.51,NA,733528.59,128404.65,0,0,11286.38,0,0,0,0,0,0
2022,"Várzea Grande","Piauí",2471,NA,NA,262.36,167.25,NA,NA,605109.2,605109.2,NA,637646.3,141920.67,0,0,9811.1,0,0,0,0,0,0
2020,"Acajutiba","Bahia",13211,NA,13240,1153.69,995.67,NA,NA,2678283.84,2678283.84,NA,2765844.35,396769.36,330371.87,0,369219.25,NA,NA,NA,NA,NA,NA
2020,"Bonito","Bahia",9572,NA,7093,315.21,442.2,NA,NA,1283465.23,1283465.23,NA,1257573.27,261070.65,47905.37,0,69925.36,NA,NA,NA,NA,NA,NA
2017,"Caraíbas","Bahia",3431,NA,2403,158.07,189.77,NA,NA,650873.38,650873.38,NA,631569,60594.72,0,0,0,NA,NA,NA,0,0,0
2020,"Cardeal da Silva","Bahia",9346,NA,3047,325.76,324.26,NA,NA,1371311.29,1371311.29,NA,1472276.71,144417.76,42808.92,0,61290.55,NA,NA,NA,NA,NA,NA
2021,"Dom Macedo Costa","Bahia",4072,NA,1851,261.46,238.38,NA,NA,817084.95,817084.95,NA,820213.04,83582.82,25653.21,125635.18,162880.49,0,0,0,0,0,0
2019,"Ibicaraí","Bahia",21689,NA,15982,1653,415.98,NA,NA,23905,23905,NA,23905,188134.98,6485,0,6485,0,0,0,0,0,0
2017,"Irajuba","Bahia",4278,NA,3516,0,547.97,NA,NA,519740.74,519740.74,NA,523048.27,193944.94,0,0,0,NA,NA,NA,0,0,0
2021,"Jaguaripe","Bahia",10161,NA,6165,573.53,546.97,NA,NA,2161847.28,2161847.28,NA,2187312.45,159223.11,97339.8,91.2,112013.88,0,0,0,0,0,0
2017,"Jussara","Bahia",15347,NA,10689,714.88,2413.2,NA,NA,2196481.61,2196481.61,NA,2101954.9,565804.47,0,0,0,NA,NA,NA,0,0,0
2017,"Malhada","Bahia",9307,NA,7178,423.15,478.75,NA,NA,1563889.67,1563889.67,NA,1658355.4,110391.04,0,0,0,NA,NA,NA,0,0,0
2021,"Mansidão","Bahia",7371,NA,5249,332.35,1061.89,NA,NA,1360708.47,1360708.47,NA,1422299.92,653718.99,108325,482.94,117959.92,0,0,0,0,0,0
2020,"Maraú","Bahia",3844,NA,3844,147.82,93.19,NA,NA,724764.98,724764.98,NA,718281.68,33162.87,52928.74,0,62093.63,NA,NA,NA,NA,NA,NA
2021,"Milagres","Bahia",8450,NA,8191,630.5,1487.27,NA,NA,2476277.2,2476277.2,NA,2652517.66,538074.57,182502.09,91.44,196670.84,0,0,0,0,0,0
2019,"Mortugaba","Bahia",6881,NA,5682,238.51,164.42,NA,NA,1207625.07,1207625.07,NA,1201948.74,71542.79,185998.86,0,185998.86,NA,NA,NA,NA,NA,NA
2019,"Ourolândia","Bahia",9404,NA,6737,525.17,1106.31,NA,NA,1834725.56,1834725.56,NA,1804082.64,309580.04,0,0,0,NA,NA,NA,NA,NA,NA
2019,"Prado","Bahia",22177,NA,15780,1067.95,344.91,NA,NA,4940120.03,4940120.03,NA,4871373.49,142973.5,0,0,0,NA,NA,NA,NA,NA,NA
2020,"Rafael Jambeiro","Bahia",10463,NA,6778,619.68,362.91,NA,NA,2452266.47,2452266.47,NA,2507340,263898.36,37390.14,0,70169.85,NA,NA,NA,NA,NA,NA
2021,"Retirolândia","Bahia",12244,NA,8134,0,1399.33,NA,NA,2000085.25,2000085.25,NA,2002585.97,1026652.62,162832.7,915.85,176604.76,0,0,0,0,0,0
2019,"Teolândia","Bahia",5467,NA,5105,194.19,171.06,NA,NA,846509.42,846509.42,NA,860331.64,51586.09,0,0,0,NA,NA,NA,NA,NA,NA
2018,"Ubaitaba","Bahia",16826,NA,16394,862.53,552,NA,NA,3333480.76,3333480.76,NA,3379864.72,139591.26,0,0,0,NA,NA,NA,0,0,0
2017,"Bom Jardim","Maranhão",11925,NA,17255,1510.86,1053.46,NA,NA,1060678.89,1060678.89,NA,895568.27,535831.79,0,0,0,0,0,0,0,0,0
2019,"Buriti","Maranhão",3993,NA,8917,623.88,236,NA,NA,638071.63,638071.63,NA,526738.39,215649.69,39947.53,0,39947.53,0,0,0,0,0,0
2021,"Buriticupu","Maranhão",10198,NA,40374,1496.66,2961.75,NA,NA,986340.56,986340.56,NA,338573.98,1930260.48,788036.43,0,883280.97,NA,NA,NA,NA,NA,NA
2019,"Carutapera","Maranhão",2999,NA,17552,208.03,66.36,NA,NA,416144.75,416144.75,NA,230233.1,46198.26,13320.33,0,13320.33,0,0,0,0,0,0
2019,"Conceição do Lago-Açu","Maranhão",4589,NA,7726,1092.55,316.65,NA,NA,0,0,NA,2450.99,278839.8,69956.85,0,69956.85,0,0,0,0,0,0
2019,"Fortaleza dos Nogueiras","Maranhão",1584,NA,7613,189.87,144.57,NA,NA,226505.27,226505.27,NA,232114.71,73662.92,12157.53,0,12157.53,0,0,0,0,0,0
2018,"Fortaleza dos Nogueiras","Maranhão",1942,NA,7603,191.09,111.22,NA,NA,222537.23,222537.23,NA,151866.63,73762.09,0,0,0,0,0,0,0,0,0
